City,Continent
Amsterdam,Europe
Sydney,Australia
Vienna,Europe
Stockholm,Europe
Copenhagen,Europe
Helsinki,Europe
Fukuoka,Asia
Berlin,Europe
Barcelona,Europe
Vancouver,America
Melbourne,Australia
Beijing,Asia
Bangkok,Asia
Buenos Aires,America
Toronto,America
Madrid,Europe
Jakarta,Asia
Seoul,Asia
Frankfurt,Europe
Geneva,Europe
Tel Aviv,Asia
Istanbul,Europe
Cairo,Africa
Taipei,Asia
Los Angeles,America
Mumbai,Asia
Boston,America
Dublin,Europe
Tokyo,Asia
Chicago,America
Hong Kong,Asia
Shanghai,Asia
Brussels,Europe
San Francisco,America
Paris,Europe
Sao Paulo,America
Zurich,Europe
London,Europe
Johannesburg,Africa
Milan,Europe
"Washington, D.C.",America
New York,America
Moscow,Europe
Mexico City,America
